b2_site_smc_agency_name,c1_type_of_site,c2_landowner,c3_tenancy_agreement_for_at_least_6_months,b1_site_management,b5_community_committee_in_place,d1_most_common_reason_idps_left_place_of_origin,a8_population_groups_other_than_idps_in_site_select_all_applicable,d3_most_common_intention_in_next_three_months,c4_general_market_in_site_close_proximity,d2_1_most_common_district_of_idp_origin,d2_2_second_most_common_district_of_idp_origin,d2_3_third_most_common_district_of_idp_origin,c6_electricity_solar_power_available_in_site,c5_fuel_available_in_site_close_proximity,c8_primary_water_source,c9_primary_shelter_type,c10_primary_latrine_type,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,psp_rrm_distributions,psp_shelter_maintenance_services,psp_nfi_distribution,psp_food_distribution,psp_cash_distributions,psp_wash_services,psp_health_services,psp_education_services,psp_livelihood_services,psp_protection_services,psp_nutrition_services,psp_waste_disposal_services,if_ngo_rrm_distributions,if_ngo_shelter_maintenance_services,if_ngo_nfi_distribution,if_ngo_food_distribution,if_ngo_cash_distributions,if_ngo_wash_services,if_ngo_health_services,if_ngo_education_services,if_ngo_livelihood_services,if_ngo_protection_services,if_ngo_nutrition_services,if_ngo_waste_disposal_services,c7_presence_of_particularly_vulnerable_groups.unaccompanied_separated_children,c7_presence_of_particularly_vulnerable_groups.child_headed_hh,c7_presence_of_particularly_vulnerable_groups.elderly,c7_presence_of_particularly_vulnerable_groups.female_headed_hh,c7_presence_of_particularly_vulnerable_groups.marginalized_people,c7_presence_of_particularly_vulnerable_groups.persons_with_disabilities,c7_presence_of_particularly_vulnerable_groups.persons_with_chronic_diseases_serious_medical_conditions,c7_presence_of_particularly_vulnerable_groups.pregnant_and_lactating_women,f1_threats_to_the_site.flooding,f1_threats_to_the_site.eviction,f1_threats_to_the_site.infectious_diseases,f1_threats_to_the_site.friction_between_communities,f1_threats_to_the_site.water_contamination,f1_threats_to_the_site.conflict_related_incidents,f1_threats_to_the_site.fire_related_incidents,a1_governorate_name,a2_district_name,a3_sub_district_name,a4_site_name,a4_site_code,a6_site_occupation_date_dd_mm_yy,a7_site_population_individual,a7_site_population_hh,a8_population_groups_other_than_idps_in_site_select_all_applicable,@rrm_distributions,@shelter_maintenance_services,@nfi_distribution,@food_distribution,@cash_distributions,@wash_services,@health_services,@education_services,@livelihood_services,@protection_services,@nutrition_services,@waste_disposal_services,@maps
NA,Spontaneous settlement,Private,No,Non-existent,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Makhadir,Hays,Khab wa Ash Sha'f,Yes,Yes,Borehole,Emergency shelter,Open defection,Shelter / maintenance assistance,Food,Non-food items,NA,NA,NA,NGO/UN agency,NA,Private,Government,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,NA,NA,NA,NA,Charitable Society for Social Welfare (CSSW),NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Ma'rib,Ma'rib,Aal Shabwan,Abo Humam,YE2613 - 1185,7/1/2016,550,45,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Abo Humam.pdf
NA,Collective centre,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Jarrahi,Hayfan,Rassd,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Non-food items,Food,Cash assistance,NA,NA,NA,NGO/UN agency,NA,Government,NA,Government,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,Field Medical Foundation (FMF),NA,NA,NA,NA,NA,Norweigan Refugee Council (NRC),Yemen Red Crescent Society (YRCS),NA,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,Abrlasloum,YE2515 - 1186,11/1/2016,140,21,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Abrlasloum.pdf
Abs Development Organization (ADO),Spontaneous settlement,Private,Yes,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Harad,Hayran,Abs,Yes,Yes,Illegal connection to piped network,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Water,Cash assistance,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,Government,Government,Government,NA,NGO/UN agency,NGO/UN agency,Government,Norweigan Refugee Council (NRC),Jeel Albena Association for Humanitarian Development (JAAHD),Jeel Albena Association for Humanitarian Development (JAAHD),World Food Programme (WFP),NA,NA,NA,NA,NA,Rawabi Al-Nahda Development Foundation (RADF),UNICEF,NA,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Hajjah,Abs,Bani Thawab,Abs City,YE1704 - 1187,5/1/2015,9075,1769,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/green.png,./merge/green.png,./merge/green.png,./merge/test maps/YEM_CCCM_Abs City.pdf
IOM,Collective centre,Private,No,NGO/UN agency,Present,House/livelihood assets destroyed/occupied,None,Stay in the site,Yes,Hays,Mawza',Al Makha,No,No,Water Trucking,Public building,Open defection,Cash assistance,Livelihood assistance,Food,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,NA,IOM,IOM,World Food Programme (WFP),NA,Save the Children,IOM,NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Ibb,Dhi As Sufal,Khnwah,Ad Dae'ri Ash Shamali and Bait Wahhas,YE1116 - 1188,1/1/2018,191,39,none,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Ad Dae'ri Ash Shamali and Bait Wahhas.pdf
N/A,Collective centre,Owner not know,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Jabal Habashi,Shar'ab Ar Rawnah,Maqbanah,Yes,Yes,Water Trucking,Host family house/apartment,Flush latrine to a tank/sewer system/pit,Cash assistance,Food,Livelihood assistance,NGO/UN agency,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,Government,NA,NA,NA,NGO/UN agency,DEEM,NA,NA,Care,NA,Care,NA,NA,NA,NA,NA,Care,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Ta'iz,Al Mudhaffar,Al Mudhaffar,Ad Dahi Collective Center,YE1517 - 1189,6/1/2016,151,30,host community,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/test maps/YEM_CCCM_Ad Dahi Collective Center.pdf
Other,Spontaneous settlement,Owner not know,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Mawza',NA,NA,No,No,Borehole,Makeshift shelter,Open defection,Shelter / maintenance assistance,Water,Cash assistance,NGO/UN agency,NA,NA,NGO/UN agency,NA,NA,NA,Government,NA,NA,Government,NA,DEEM,NA,NA,Society for Humanitarian Solidarity (SHS),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Ta'iz,Mawza',Al Ahmul - Mawza,Adh Dhumairah,YE1507 - 1190,12/1/2018,443,101,none,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Adh Dhumairah.pdf
N/A,Collective centre,Public ,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,At Ta'iziyah,Bayt Al Faqih,Salah,No,No,Water Trucking,Public building,Open defection,Food,Water,Cash assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,Care,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Ta'iz,Al Qahirah,Al Qahirah,Al Abd building,YE1518 - 1191,7/1/2015,41,6,none,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Abd building.pdf
N/A,Collective centre,Private,Yes,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,As Saiyani,Dhi As Sufal,At Ta'iziyah,No,No,Water Trucking,Public building,Flush latrine to a tank/sewer system/pit,Cash assistance,Medical assistance,Livelihood assistance,NGO/UN agency,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,DEEM,NA,NA,Care,NA,Care,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Ta'iz,Salah,Salah,Al Ahlam School and Al Mansouri Hotel,YE1519 - 1192,1/1/2015,98,17,host community,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Ahlam School and Al Mansouri Hotel.pdf
N/A,Collective centre,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,At Ta'iziyah,Maqbanah,Jabal Habashi,Yes,No,Bottled water,Own house/apartment,Flush latrine to a tank/sewer system/pit,Food,Water,Legal services,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Ta'iz,Al Mudhaffar,Al Mudhaffar,Al Aisa'ie building (Jamal street),YE1517 - 1193,3/1/2015,116,21,none,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Aisa'ie building (Jamal street).pdf
NA,Spontaneous settlement,Owner not know,No,NGO/UN agency,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,At Tuhayta,Zabid,NA,No,Yes,"Surface water (river, dam, lake, pond, stream, canal)",Emergency shelter,Flush latrine to a tank/sewer system/pit,Food,Water,Medical assistance,NA,NA,NGO/UN agency,NA,NA,Private,NA,NA,NA,NA,NA,NA,NA,NA,Nahda Makers Organization (NMO),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Lahj,Al Hawtah,Al Hawtah - Al Hawtah,Al Amal Camp,YE2514 - 1194,5/1/2018,90,14,host community,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Amal Camp.pdf
